id,member_num,,gender1,grade1,school1,major1,class1,,gender2,grade2,school2,major2,class2,,gender3,grade3,school3,major3,class3,试题编号,初审结果,average_gpa,学院差异性,性别多样性,专业多样性,ISC,DNC,HT,分类初审结果
90,3,,男,2023,农业与农村发展学院,应用经济农村区域发展管理,本科1班,,男,2023,农业与农村发展学院,“应用经济—农村区域发展管理”双学士学位复合型人才培养项目,本科1班,,男,2023,农业与农村发展学院,“大数据技术—农林经济管理”双学士学位复合型人才培养项目,本科2班,C,北京二等奖,3.576666667,0,0,1.098612289,0.634284101,3,0,市级奖项
91,3,,男,2023,高瓴人工智能学院,人工智能,1班,,女,2023,财政金融学院,财政学类,本科财税班,,男,2023,高瓴人工智能学院,人工智能,1班,,北京二等奖,3.37,0.212014826,0.636514168,0.636514168,0.245084809,3,0.318257084,市级奖项
92,3,,女,2022,生态环境学院,资源与环境经济学,2022级本科班,,女,2022,信息资源管理学院,信息资源管理,2022级信息资源管理 1班,,女,2022,生态环境学院,资源与环境经济学,2022级本科班,C,成功参赛,3.333333333,0.962258533,0,0.636514168,0.489421625,3,0,成功参赛（未获奖）
93,3,,女,2023,财政金融学院,金融学数据科学与大数据技术,2023级本科金融科技实验班,,女,2023,财政金融学院,金融学类,2023级本科金融四班,,男,2023,财政金融学院,金融学类,2023级本科金融四班,C,北京一等奖,3.743333333,0,0.636514168,0.636514168,0.367491626,3,0.318257084,市级奖项
94,3,,男,2023,高瓴人工智能学院,人工智能,1班,,女,2023,财政金融学院,财政学类,本科财税班,,男,2023,高瓴人工智能学院,人工智能,1班,B,北京二等奖,3.45,0.212014826,0.636514168,0.636514168,0.245084809,3,0.318257084,市级奖项
95,3,,男,2023,信息学院,计算机,本科2班,,男,2023,经济学院,经济学类,1班,,女,2023,商学院,工商管理类,2023级本科四班,C,北京二等奖,3.376666667,0.987229329,0.636514168,1.098612289,0.241157611,3,0.318257084,市级奖项
96,3,,女,2023,经济学院,经济学类,2023级本科3班,,男,2022,统计学院,应用统计学,2022级统计2班,,男,2023,经济学院,经济学类,2023级本科3班,B,成功参赛,3.783333333,0.173143501,0.636514168,0.636514168,0.26752718,3,0.636514168,成功参赛（未获奖）
97,3,,男,2022,数学学院,金融学数学,2022级数学双学位实验班,,男,2022,信息学院,理科实验班,理科实验班2班,,男,2022,数学学院,数学拔尖班,2022级数学拔尖班,B,成功参赛,3.613333333,0.154764408,0,1.098612289,0.594663743,6,0,成功参赛（未获奖）
98,3,,女,2023,统计学院,统计学类,4 班,,女,2023,信息学院,图灵实验班,图灵实验班,,男,2023,信息学院,计算机,理科实验班一班,C,成功参赛,3.333333333,0.497146145,0.636514168,1.098612289,0.314833194,2,0.318257084,成功参赛（未获奖）
99,3,,男,2022,经济学院,中国特色经济学,中国特色经济学实验班,,男,2022,经济学院,中国特色经济学,中国特色经济学实验班,,女,2023,财政金融学院,金融类,金融1班,C,违纪,3.48,0.2871783,0.636514168,0.636514168,0.201689157,4,0.636514168,未获奖
